Ticker,Date,Open,High,Low,Close,Adj Close,Volume
DKNG,11/6/2019,10.07,10.1,10.05,10.05,10.05,137700
DKNG,11/7/2019,10.07,10.1,10.04,10.08,10.08,18500
DKNG,11/8/2019,10.075,10.1,10.07,10.1,10.1,1600
DKNG,11/11/2019,10.089,10.089,10.086,10.086,10.086,600
DKNG,11/12/2019,10.086,10.086,10.086,10.086,10.086,100
DKNG,11/13/2019,10.086,10.086,10.086,10.086,10.086,0
DKNG,11/14/2019,10.05,10.1,10.04,10.09,10.09,2011300
DKNG,11/15/2019,10.09,10.09,10.09,10.09,10.09,100
DKNG,11/18/2019,10.05,10.09,10.04,10.04,10.04,16900
DKNG,11/19/2019,10.04,10.04,10.04,10.04,10.04,0
DKNG,11/20/2019,10.043,10.043,10.043,10.043,10.043,100
DKNG,11/21/2019,10.043,10.043,10.043,10.043,10.043,100
DKNG,11/22/2019,10.043,10.043,10.043,10.043,10.043,0
DKNG,11/25/2019,10.09,10.09,10.04,10.04,10.04,255300
DKNG,11/26/2019,10.09,10.09,10.04,10.04,10.04,96800
DKNG,11/27/2019,10.04,10.062,10.04,10.05,10.05,168600
DKNG,11/29/2019,10.05,10.05,10.05,10.05,10.05,0
DKNG,12/2/2019,10.08,10.08,10.075,10.075,10.075,300
DKNG,12/3/2019,10.075,10.075,10.075,10.075,10.075,0
DKNG,12/4/2019,10.075,10.075,10.075,10.075,10.075,0
DKNG,12/5/2019,10.06,10.06,10.06,10.06,10.06,100000
DKNG,12/6/2019,10.06,10.065,10.06,10.065,10.065,2000
DKNG,12/9/2019,10.084,10.084,10.06,10.06,10.06,7800
DKNG,12/10/2019,10.09,10.09,10.09,10.09,10.09,10000
DKNG,12/11/2019,10.084,10.084,10.08,10.08,10.08,2000
DKNG,12/12/2019,10.074,10.074,10.074,10.074,10.074,1000
DKNG,12/13/2019,10.09,10.09,10.09,10.09,10.09,125000
DKNG,12/16/2019,10.08,10.09,10.08,10.08,10.08,24400
DKNG,12/17/2019,10.1,10.1,10.086,10.09,10.09,22200
DKNG,12/18/2019,10.1,10.15,10.09,10.14,10.14,225600
DKNG,12/19/2019,10.15,10.307,10.15,10.18,10.18,292000
DKNG,12/20/2019,10.19,10.19,10.17,10.17,10.17,8200
DKNG,12/23/2019,10.8,10.85,10.66,10.84,10.84,9814600
DKNG,12/24/2019,11,11.04,10.82,10.84,10.84,2934400
DKNG,12/26/2019,10.95,10.95,10.72,10.74,10.74,1304600
DKNG,12/27/2019,10.75,10.8,10.6,10.68,10.68,544900
DKNG,12/30/2019,10.7,10.7,10.61,10.64,10.64,832200
DKNG,12/31/2019,10.69,10.8,10.59,10.7,10.7,564800
DKNG,1/2/2020,10.79,10.8,10.65,10.68,10.68,1194100
DKNG,1/3/2020,10.66,10.75,10.61,10.68,10.68,467600
DKNG,1/6/2020,10.75,10.9,10.692,10.8,10.8,2183500
DKNG,1/7/2020,10.89,10.95,10.87,10.9,10.9,1977000
DKNG,1/8/2020,10.94,11.35,10.884,11.26,11.26,2955700
DKNG,1/9/2020,11.43,12.39,11.34,12.25,12.25,8279300
